text,normalized_text,label
lam stream khuya khổ lắm các ông ah kiểu này là vài đứa nữa,lam stream khuya khổ lắm các ông ah kiểu này là vài đứa nữa,0
quản trị viên có cập nhật được tình hình biểu tình ở hà nội bây giờ không ah căng quá mà không biết như thế nào,quản trị viên có cập nhật được tình hình biểu tình ở hà nội bây giờ không ah căng quá mà không biết như thế nàkhông,0
tôn trọng nó cho nó ăn hiếp chiếm hết khu vực rồi nó quá quậy bên mỹ ah,tôn trọng nó cho nó ăn hiếp chiếm hết khu vực rồi nó quá quậy bên mỹ ah,0
vậy mà mày nói tiếng việt nam đẻ ra tại việt nam đấy quản trị viên chó ah,vậy mà mày nói tiếng việtao nam đẻ ra tại việtao nam đấy quản trị viên chó ah,0
tao ở nước ngoài đừng nói cũng bắt tao đóng thuế đi ah d,tao ở nước ngoài đừng nói cũng bắt tao đóng thuế đi ah d,0
tập để cho nó biết mình cùi bắp sao ah đâu có ngu,tập để cho nó biết mình cùi bắp sao ah đâu có ngu,1
ah ơi để em sẽ xung phong đi nghĩa vụ dù em mới lớp để xem ah tấu hài fre,ah ơi để em sẽ xung phong đi nghĩa vụ dù em mới lớp để xem ah tấu hài fre,0
ah ơi để em sẽ xung phong đi nghĩa vụ dù em mới lớp để xem ah tấu hài fre,ah ơi để em sẽ xung phong đi nghĩa vụ dù em mới lớp để xem ah tấu hài fre,0
địt mẹ nói không phải xúc phạm chứ mấy ông càng càng phát ngôn đéo ra cái gì não mấy ông chỉ có tiền thôi ah mấy ông giúp dân nhiều quá nhỉ nói như đúng rồi,địtao mẹ nói không phải xúc phạm chứ mấy ông càng càng phát ngôn đéo ra cái gì não mấy ông chỉ có tiền thôi ah mấy ông giúp dân nhiều quá nhỉ nói như đúng rồi,1
quan trọng là cãi tụi nó nên tụi nó cho lên đĩa chứ làm sai thì ai nào không sai với lại biết ai chơi không mà nói ông thanh nào đì dám nói ông thanh đà nẵng lắm ah,quan trọng là cãi tụi nó nên tụi nó cho lên đĩa chứ làm sai thì ai nào không sai với lại biết ai chơi không mà nói ông thanh nào đì dám nói ông thanh đà nẵng lắm ah,1
có ba giàu nhỉ vay sao có ba con lừa bịp táng cô hieu mấy trăm triệu vậy à nè cô bà ơi quán điện tử đẹp của cô không dụng hàng ai luôn đó ah phải gọi là giống công công hơn ha ha chắc bà này bà quên uống thuốc rồi cả nhà ơi khung hết thuốc chữa đồ thần kinh,có ba giàu nhỉ vay sao có ba con lừa bịp táng cô hieu mấy trăm triệu vậy à nè cô bà ơi quán điện tử đẹp của cô không dụng hàng ai luôn đó ah phải gọi là giống công công hơn ha ha chắc bà này bà quên uống thuốc rồi cả nhà ơi khung hết thuốc chữa đồ thần kinh,0
mày chỉ là con chó oách sờ lách làm gì câu view ah vũ khác tiệp,mày chỉ là con chó oách sờ lách làm gì câu view ah vũ khác tiệp,1
nghe tưởng vô lí nhưng lại thuyết phục anh em ah,nghe tưởng vô lí nhưng lại thuyết phục anh em ah,0
tóc này hkt học theo ah tôi nè,tóc này hkt học theo ah tôi nè,0
mấy thằng công an xã học chả hết cấp mà cũng có bằng đại học cơ ah,mấy thằng công an xã học chả hết cấp mà cũng có bằng đại học cơ ah,0
chi ba noi chuyện có duyên wa ah cho em kết bạn facebok đi chi,chi ba noi chuyện có duyên wa ah cho em kết bạn facebok đi chi,0
mấy cái hội phụ nữ việt nam chả được tích sự gì nhỉ nam đá bóng thì thể thao là yêu nước còn nữ thì không ah,mấy cái hội phụ nữ việt nam chả được tích sự gì nhỉ nam đá bóng thì thể thao là yêu nước còn nữ thì không ah,0
facebook thật cô mình hiếu là gì vậy ah,facebook thật cô mình hiếu là gì vậy ah,0
không hèn thì lấy cứt nuôi bụng bầu ah,không hèn thì lấy cứt nuôi bụng bầu ah,0
dư luận viên là cái lũ không có não hơi đâu tranh chấp với tụi đó tụi đó nói cái nào lòi ra cái ngu đó liền mà cứ thích nói không nói sợ người ta không biết nó ngu hay sao ah,dư luận viên là cái lũ không có não hơi đâu tranh chấp với tụi đó tụi đó nói cái nào lòi ra cái ngu đó liền mà cứ thích nói không nói sợ người ta không biết nó ngu hay sao ah,1
vũ hạnh dương cô dạy cả bộ môn chửi nữa ah,vũ hạnh dương cô dạy cả bộ môn chửi nữa ah,0
đep quá ah chi ơi,đep quá ah chi ơi,0
ơi cho con xin lam oxin cho nhe cung va ah,ơi cho con xin lam oxin cho nhe cung va ah,0
vì vậy các bạn cứ ở ngoài đó nhé đừng có vô trong nam này làm gì hít bụi mịn như hít cỏ mỹ vậy đó hèn chi phát phát biểu ra là biết ở đâu liền ah,vì vậy các bạn cứ ở ngoài đó nhé đừng có vô trong nam này làm gì hít bụi mịn như hít cỏ mỹ vậy đó hèn chi phát phát biểu ra là biết ở đâu liền ah,0
tội ah tôi,tội ah tôi,0
uyen le ha ha chưa ăn luôn ah,uyen le ha ha chưa ăn luôn ah,0
lineup team nữ trả lại em ah,lineup team nữ trả lại em ah,0
nguyễn tài coi con cặc bn,nguyễn tài coi con cặc bn,1
vũ thị huyền bn vậy bạn,vũ thị huyền bn vậy bạn,0
trend này được các thanh niên việt nam áp dụng khá lâu rồi không như các bn hàn quốc bây giờ mới bt,trend này được các thanh niên việt nam áp dụng khá lâu rồi không như các bn hàn quốc bây giờ mới bt,0
em ơi con linh dai loan no co nhô lông dai táng em chua ma em lai lên xi gon kiêm no con nua lam nhu em co bao nhiêu vang lây ra đéo hêt hay sao vây dzom giông vang gia nhin den thôi lui ha nêu la vang thiêt thi no se sang loe luôn ah em ơi cho anh noi nghe ne em quên cai con linh dai loan di no noi bon cộng sản việt nam an cut táng no nêu ma no ngung goi tiên usd ve thôi chu no không co noi em an cut táng no em co biet miên tây bây gio bi nuoc man va khô han khong ne bon trung quôc no ngan dong chây táng sông me kông rôi dân mien tay se chet doi het em chui thang trung quoc dum anh di em em dzam chui khong ne anh so bn trung công no den nhé em no nhô sach lông dai táng em do nhé,em ơi con linh dai loan no co nhô lông dai táng em chua ma em lai lên xi gon kiêm no con nua lam nhu em co bao nhiêu vang lây ra đéo hêt hay sao vây dzom giông vang gia nhin den thôi lui ha nêu la vang thiêt thi no se sang loe luôn ah em ơi cho anh noi nghe ne em quên cai con linh dai loan di no noi bon cộng sảng việt nam an cut táng no nêu ma no ngung goi tiên usd ve thôi chu no không co noi em an cut táng no em co biet miên tây bây gio bi nuoc man va khô han khong ne bon trung quôc no ngan dong chây táng sông me kông rôi dân mien tay se chet doi het em chui thang trung quoc dum anh di em em dzam chui khong ne anh so bn trung công no den nhé em no nhô sach lông dai táng em do nhé,1
đạt nguyễn chó là bn không phải thức ăn,đạt nguyễn chó là bn không phải thức ăn,1
nguyễn tài coi con cặc bn,nguyễn tài coi con cặc bn,1
mua chai guci cũng đỗ lên chứ bn mua chai cũng là giả nếu bán rồi tặng nữa thì sao giàu được chị mình mua rồi không tới nước lã nhưng nói thơm hơn khi ngồi trong phòng máy lạnh mày chị mình ngồi trong máy lạnh chưa tới là hết thơm rồi không tiền thà để dành đủ tiền mua chai cho lẹ đỡ hơn là bỏ tiền ra cũng không có ít gì,mua chai guci cũng đỗ lên chứ bn mua chai cũng là giả nếu bán rồi tặng nữa thì sao giàu được chị mình mua rồi không tới nước lã nhưng nói thơm hơn khi ngồi trong phòng máy lạnh mày chị mình ngồi trong máy lạnh chưa tới là hết thơm rồi không tiền thà để dành đủ tiền mua chai cho lẹ đỡ hơn là bỏ tiền ra cũng không có ít gì,0
nguyễn văn nhã kệ bn đi bạn mệt lắm,nguyễn văn nhã kệ bn đi bạn mệt lắm,1
ờ nghe đồn dự kiến tới năm việt nam sẽ đứng trong số những nc có nền kiểm tra phát triển gì đó mà trước mắt thấy là ba cái vô bổ này là dân chịu nợ không biết bn tiền rồi ăn ở không nên rửa tiền chơi ah,ờ nghe đồn dự kiến tới năm việtao nam sẽ đứng trong số những nc có nền kiểm tra phát triển gì đó mà trước mắt thấy là ba cái vô bổ này là dân chịu nợ không biết bn tiền rồi ăn ở không nên rửa tiền chơi ah,0
chau ơi bn la con táng cô hả,chau ơi bn la con táng cô hả,0
chúng tôi đã đi trước các bn hàng chục năm về cái này rồi,chúng tôi đã đi trước các bn hàng chục năm về cái này rồi,0
hoàng yến nó có kêu bn thử đâu,hoàng yến nó có kêu bn thử đâu,0
người ta tri ân bn ạ bn ơi hàng nhé bn,người ta tri ân bn ạ bn ơi hàng nhé bn,0
người ta tri ân bn ạ bn ơi hàng nhé bn,người ta tri ân bn ạ bn ơi hàng nhé bn,0
người ta tri ân bn ạ bn ơi hàng nhé bn,người ta tri ân bn ạ bn ơi hàng nhé bn,0
được chuẩn tao cũng giống bn khi biết mjh không được bây giờ người thì phải hết sức nỗ lực,được chuẩn tao cũng giống bn khi biết mjh không được bây giờ người thì phải hết sức nỗ lực,0
em nam nhé tại thằng bn nó kiếm chuyện nên em đạp mỏ nó luôn thẳng ha ha,em nam nhé tại thằng bn nó kiếm chuyện nên em đạp mỏ nó luôn thẳng ha ha,0
mua bn được sỉ quản trị viên ơi,mua bn được sỉ quản trị viên ơi,0
chu tiến đạt gốc bn ấy tuyến quang không là người miền ngoài chứ là gì,chu tiến đạt gốc bn ấy tuyến quang không là người miền ngoài chứ là gì,0
lại là do chế độ nát chi dao chị kho anh nong dan chồng cay bn nam co thang den thu hoach hộ,lại là do chế độ nát chi dao chị kho anh nong dan chồng cay bn nam co thang den thu hoach hộ,0
ngu là ngu làm sao bn giải thích cho tôi hiểu với được không,ngu là ngu làm sao bn giải thích cho tôi hiểu với được không,1
bn ơi bn bt gì về nước hoa không,bn ơi bn bt gì về nước hoa không,0
bn ơi bn bt gì về nước hoa không,bn ơi bn bt gì về nước hoa không,0
nhiều bn sống nhanh quá hay sao mà nói sống chậm thôi,nhiều bn sống nhanh quá hay sao mà nói sống chậm thôi,0
bn ơi làm nghệ thuật chưa chắc tài năng đã nổi tiếng còn mấy show truyền hình người ta thấy hay thì coi được rồi chả lẻ cái gì cũng phải có khoa học công nghệ mới được à game show hài nước ngoài đầy mỹ hàn quốc gì đều cũng có quan trọng là người ta thích xem được rồi,bn ơi làm nghệ thuật chưa chắc tài năng đã nổi tiếng còn mấy show truyền hình người ta thấy hay thì coi được rồi chả lẻ cái gì cũng phải có khoa học công nghệ mới được à game show hài nước ngoài đầy mỹ hàn quốc gì đều cũng có quan trọng là người ta thích xem được rồi,0
những đứa như quản trị viên với mày chỉ suy nghĩ được vậy nên mãi làm dân ngu cu đen thôi chừng nào tính được tỉ mà ăn được bn mới làm lãnh đạo được thân ái,những đứa như quản trị viên với mày chỉ suy nghĩ được vậy nên mãi làmày dân ngu cu đen thôi chừng nào tính được tỉ mà ăn được bn mới làm lãnh đạo được thân ái,1
mình không california mun kết bn zalo voi châu kết bn mình nhe,mình không california mun kết bn zalo voi châu kết bn mình nhe,0
mình không california mun kết bn zalo voi châu kết bn mình nhe,mình không california mun kết bn zalo voi châu kết bn mình nhe,0
sống chậm thôi các bn,sống chậm thôi các bn,0
bn nói chuẩn chết mẹ nó rồi nhai cứ như bò nhai cỏ bảo dân trí thấp lại tự ái,bn nói chuẩn chếtao mẹ nó rồi nhai cứ như bò nhai cỏ bảo dân trí thấp lại tự ái,0
sao bn chuyến bay từ lúc có dịch ở anh đến giờ không có chuyến nào bị có mỗi chuyến này bị dính dịch,sao bn chuyến bay từ lúc có dịch ở anh đến giờ không có chuyến nào bị có mỗi chuyến này bị dính dịch,0
không biết bỏ ra bn tiền để bài này được đăng nhỉ,không biết bỏ ra bn tiền để bài này được đăng nhỉ,0
có ai từ tik tok mấy đứa bn bơ vô đây không giờ trường em ai cũng bt cô minh hiếu,có ai từ tik tok mấy đứa bn bơ vô đây không giờ trường em ai cũng bt cô minh hiếu,0
duy trần xin video với bn ơi,duy trần xin video với bn ơi,0
huy engraving xin video với bn ơi,huy engraving xin video với bn ơi,0
xin video bn ơi,xin video bn ơi,0
em mới đi đường quyền cái đạp vô miệng thằng bn luôn,em mới đi đường quyền cái đạp vô miệng thằng bn luôn,0
tấn phước cô bé trong hình là người bị tôi độc hả bn,tấn phước cô bé trong hình là người bị tôi độc hả bn,0
cái đám chết chạy đấy thì nó ghét cs đến xương tuỷ còn gửi tiền về gửi được bn khi làm nail culi lo cuộc sống chưa xong dư dả quá ha còn việt kiều thành đạt kiếm tiền còn gửi về tổ quốc thì chắc chắn không có thời gian mà lên facebook share cái tin rồi chửi chưa,cái đám chết chạy đấy thì nó ghét cs đến xương tuỷ còn gửi tiền về gửi được bn khi làm nail culi lo cuộc sống chưa xong dư dả quá ha còn việt kiều thành đạt kiếm tiền còn gửi về tổ quốc thì chắc chắn không có thời gian mà lên facebook share cái tin rồi chửi chưa,0
lương mặt bây giờ điện nước xăng xe tiền vệ sinh thức ăn hàng ngày hỏi còn bn nếu có người ăn theo nữa chỉ có âm suốt vay mà ăn đồng nghĩa làm cu li cho nhà nước suốt đời không ngóc đầu lên được bố mẹ mà không có nhà cho thì chỉ ra gầm cầu mà ở,lương mặt bây giờ điện nước xăng xe tiền vệ sinh thức ăn hàng ngày hỏi còn bn nếu có người ăn theo nữa chỉ có âm suốt vay mà ăn đồng nghĩa làm cu li cho nhà nước suốt đời không ngóc đầu lên được bố mẹ mà không có nhà cho thì chỉ ra gầm cầu mà ở,0
được bn,được bn,0
đó là các bạn đéo biết với cái trình độ học của ông nằm trong top đại học bố chủ nhà máy điện nữa chỉ là giàu bn thôi,đó là các bạn đéo biết với cái trình độ học của ông nằm trong top đại học bố chủ nhà máy điện nữa chỉ là giàu bn thôi,1
buồi đức hậuhậu nếu nó cười vào mặt bn thì chứng tỏ bn không phải là gì của người ta thì vãi cặc đéo gì phải sợ chỉ là thích sai người thôi,buồi đức hậuhậu nếu nó cười vào mặt bn thì chứng tỏ bn không phải là gì của người ta thì vãi cặc đékhông gì phải sợ chỉ là thích sai người thôi,0
buồi đức hậuhậu nếu nó cười vào mặt bn thì chứng tỏ bn không phải là gì của người ta thì vãi cặc đéo gì phải sợ chỉ là thích sai người thôi,buồi đức hậuhậu nếu nó cười vào mặt bn thì chứng tỏ bn không phải là gì của người ta thì vãi cặc đékhông gì phải sợ chỉ là thích sai người thôi,0
robo con nhập cảnh tới mới vào viện bạn ơi không biết trong ngày á có tiếp xúc với bn nữa,robo con nhập cảnh tới mới vào viện bạn ơi không biết trong ngày á có tiếp xúc với bn nữa,0
gáy lên anh ơi tốn bn thế anh,gáy lên anh ơi tốn bn thế anh,0
thoại trần soi có giúp bn nổi tiếng hơn không,thoại trần soi có giúp bn nổi tiếng hơn không,0
khoảng cách là không xa nếu ta xem nhau là tất cả để rồi mọc lên bn là canxi,khoảng cách là không xa nếu ta xem nhau là tất cả để rồi mọc lên bn là canxi,0
các bác chỉ nhìn cái tiêu cực trong xã hội bn người không càn sự sống đang gồng mình cứu giúp người dân đang bên ngoài vùng lũ kia mỗi người việc p anh anh ấy có tiền thì ở trên khô phát lương thực cho những người được cán bộ cảnh sát không màng tính mạng mình đưa người dân từ nơi nguy hiểm vào đừng nói vì tiền thuế nhá bạn bạn có dám vì tiền mà đánh đổi mạng sống của mình không,các bác chỉ nhìn cái tiêu cực trong xã hội bn người không càn sự sống đang gồng mình cứu giúp người dân đang bên ngoài vùng lũ kia mỗi người việc p anh anh ấy có tiền thì ở trên khô phát lương thực cho những người được cán bộ cảnh sát không màng tính mạng mình đưa người dân từ nơi nguy hiểm vào đừng nói vì tiền thuế nhá bạn bạn có dám vì tiền mà đánh đổi mạng sống của mình không,1
khi sống ở việt nam thì bn sẽ có một cái nhìn khác,khi sống ở việtao nam thì bn sẽ có một cái nhìn khác,0
nhờ chi kim kết bn zalo mình được ơn nhe,nhờ chi kim kết bn zalo mình được ơn nhe,0
xin video bn ơi,xin video bn ơi,0
bt các bạn phan cuồng chửi vậy mình đã không nêu ra ý kiến cá nhân,bt các bạn phan cuồng chửi vậy mình đã không nêu ra ý kiến cá nhân,0
supi trần bt cũng chửi,supi trần bt cũng chửi,0
em cảm ơn anh và toàn team đã cố gắng hết sức mình em bt là mọi người đều bị áp lực tâm lí và chúng ta thiếu chút may mắn thôi vui là chính những giải sau cô gắng tiếp anh ạ phong độ là nhất thời đẳng cấp là mãi mãi forever,em cảm ơn anh và toàn team đã cố gắng hết sức mình em bt là mọi người đều bị áp lực tâm lí và chúng ta thiếu chút may mắn thôi vui là chính những giải sau cô gắng tiếp anh ạ phong độ là nhất thời đẳng cấp là mãi mãi forever,0
trend này được các thanh niên việt nam áp dụng khá lâu rồi không như các bn hàn quốc bây giờ mới bt,trend này được các thanh niên việt nam áp dụng khá lâu rồi không như các bn hàn quốc bây giờ mới bt,0
khánh băng chán không bt nói sao luôn á,khánh băng chán không bt nói sao luôn á,0
bác đấy cũng chỉ mắt tay chân như người bt thôi để thay đổi thì không chỉ sớm chiều được nói thật cho quản trị viên lên làm có nổi được như bác đấy làm bây giờ không mà nói,bác đấy cũng chỉ mắt tay chân như người bt thôi để thay đổi thì không chỉ sớm chiều được nói thật cho quản trị viên lên làm có nổi được như bác đấy làm bây giờ không mà nói,0
đội độ mixi gaming thua cũng đúng thôi đó là đội mình nhường thái thôi mọi người tâm lý bt anh độ muốn về nc cày hãy trao cho anh lên đã cố tình thua để chiều ý anh độ,đội độ độ mixi gaming thua cũng đúng thôi đó là đội mình nhường thái thôi mọi người tâm lý bt anh độ muốn về nc cày hãy trao cho anh lên đã cố tình thua để chiều ý anh độ,0
nói chung cũng tạm thôi anh em ạ không hay lắm nội dung bt giật mình đùnh đùng ấy,nói chung cũng tạm thôi anh em ạ không hay lắm nội dung bt giật mình đùnh đùng ấy,0
sua cap thi lien quan den bang thong quoc te chu noi dia van bt quản trị viên ngu ngu,sua cap thi lien quan den bang thong quoc te chu noi dia van bt quản trị viên ngu ngu,1
cảm ơn nhà sư những nơi thì thà lang thang thế này còn hơn vào trung tâm bt cho các loại quỷ đội lốt người có cơ hội oh dâm,cảm ơn nhà sư những nơi thì thà lang thang thế này còn hơn vào trung tâm bt cho các loại quỷ đội lốt người có cơ hội oh dâm,0
không bt cô chuyễn giới luôn á giờ mứ bt cô chị yêu giới lúc mình,không bt cô chuyễn giới luôn á giờ mứ bt cô chị yêu giới lúc mình,0
không bt cô chuyễn giới luôn á giờ mứ bt cô chị yêu giới lúc mình,không bt cô chuyễn giới luôn á giờ mứ bt cô chị yêu giới lúc mình,0
địt con mẹ cái bọn animal tand bt ăn tiền nên mới xử như vậy,địtao con mẹ cái bọn animal tand bt ăn tiền nên mới xử như vậy,0
đào mạnh an bên đấy nó vẫn coi đay là cúm bt thôi tự mua thuốc về mà uống,đào mạnh an bên đấy nó vẫn coi đay là cúm bt thôi tự mua thuốc về mà uống,0
nhìn đội hình chắc ai cũng bt ba rọi béo yếu nhất,nhìn đội hình chắc ai cũng bt ba rọi béo yếu nhất,0
ai bt cách khắc phục lỗi mạng không chứ wifi cũng đứng hoài,ai bt cách khắc phục lỗi mạng không chứ wifi cũng đứng hoài,0
nhìn cái poster ngầu lòi xem video âm nhạc không bt có hoảng hốt không nhỉ,nhìn cái poster ngầu lòi xem video âm nhạc không bt có hoảng hốt không nhỉ,0
chung tiến không bt xem súc vật,chung tiến không bt xem súc vật,0
người có tiếng mặc cái lồn gì chẳng đẹp người bt nó bảo là điên,người có tiếng mặc cái lồn gì chẳng đẹp người bt nó bảo là điên,1
khó ngủ quá anh em anh cuộc đời này không bt có bất công vơi tôi không chi mong không vậy,khó ngủ quá anh em anh cuộc đời này không bt có bất công vơi tôi không chi mong không vậy,0
có ai bt facebook của bà ấy không cho tui xin với tìm hoài không thấy,có ai bt facebook của bà ấy không cho tui xin với tìm hoài không thấy,0
lan anh nguyễn nâu choco bt không tẩy thôi nè bạn,lan anh nguyễn nâu choco bt không tẩy thôi nè bạn,1
nct muốn bt tht hay giả mua đi thế bt,nct muốn bt tht hay giả mua đi thế bt,0
nct muốn bt tht hay giả mua đi thế bt,nct muốn bt tht hay giả mua đi thế bt,0
trời ơi trời nc hoa gì mấy trăm xài nc hoa hàng hiệu là bt rồi tiền trời một chai bự còn hàng dùng thử chai nhỏ xíu mặt lồn nhỏ hơn chai thuốc nhỏ mắt cũng trăm mấy trăm ngàn rồi,trời ơi trời nc hoa gì mấy trăm xài nc hoa hàng hiệu là bt rồi tiền trời một chai bự còn hàng dùng thử chai nhỏ xíu mặtao lồn nhỏ hơn chai thuốc nhỏ mắt cũng trăm mấy trăm ngàn rồi,1
quản trị viên đang nói bt hà nội phải không,quản trị viên đang nói bt hà nội phải không,0
bn ơi bn bt gì về nước hoa không,bn ơi bn bt gì về nước hoa không,0
tụi mày không bt đấy chứ mấy tấm hình đó nếu ghép lại là đọc rap,tụi mày không bt đấy chứ mấy tấm hình đó nếu ghép lại là đọc rap,0
lê minh tuấn không bt được xuất viện không,lê minh tuấn không bt được xuất viện không,0
mình còn không bt nó là cn gì,mình còn không bt nó là cn gì,0
con đó hk bt đừng nói,con đó hk bt đừng nói,0
sống trên đời sao cứ phải tranh chấp mau thuẫn chi vậy ai nói gì kệ họ mình tốt thì trời bt đất bt hơi đâu nói nhiều với mấy đứa tiểu nhân,sốngười trên đời sao cứ phải tranh chấp mau thuẫn chi vậy ai nói gì được̣ họ mình tốtao thì trời bt đấtao bt hơi đâu nói nhiều với mấy đứanh tiểu nhân,0
